Family_ID,Seed,V_Vertices,Triple,Distance_to_Centroid
2,"[1  1  1  1]",5,"(1.0, 1.0, 1.4)",35.5374
2,"[1  3  3  3]",6,"(1.0, 1.4, 1.7)",32.2276
2,"[1  4  4  4]",7,"(1.0, 1.7, 2.0)",30.5855
2,"[1  6  6  6]",8,"(1.0, 2.0, 2.2)",27.3346
2,"[1  8  8  8]",9,"(1.0, 2.2, 2.4)",24.1432
2,"[1  10  10  10]",9,"(1.0, 2.4, 2.6)",21.0382
2,"[1  12  12  12]",10,"(1.0, 2.6, 2.8)",18.0642
2,"[1  14  14  14]",11,"(1.0, 2.8, 3.0)",15.2980
2,"[1  16  16  16]",11,"(1.0, 3.0, 3.2)",12.8740
2,"[1  18  18  18]",12,"(1.0, 3.2, 3.3)",11.0204
2,"[1  20  20  20]",12,"(1.0, 3.3, 3.5)",10.0579
2,"[1  22  22  22]",13,"(1.0, 3.5, 3.6)",10.2408
2,"[1  25  25  25]",13,"(1.0, 3.6, 3.7)",12.4676
2,"[1  27  27  27]",14,"(1.0, 3.7, 3.9)",14.8038
2,"[1  29  29  29]",14,"(1.0, 3.9, 4.0)",17.5175
2,"[1  31  31  31]",15,"(1.0, 4.0, 4.1)",20.4591
2,"[1  34  34  34]",15,"(1.0, 4.1, 4.2)",25.1225
2,"[1  36  36  36]",15,"(1.0, 4.2, 4.4)",28.3346
5,"[1  39  39  39]",16,"(1.0, 4.4, 4.5)",27.5002
5,"[1  41  41  41]",16,"(1.0, 4.5, 4.6)",26.7109
5,"[1  43  43  43]",17,"(1.0, 4.6, 4.7)",26.3569
5,"[1  46  46  46]",17,"(1.0, 4.7, 4.8)",26.6740
5,"[1  48  48  48]",17,"(1.0, 4.8, 4.9)",27.4356
4,"[1  51  51  51]",18,"(1.0, 4.9, 5.0)",37.0298
4,"[1  53  53  53]",18,"(1.0, 5.0, 5.1)",35.1155
4,"[1  56  56  56]",18,"(1.0, 5.1, 5.2)",32.7253
4,"[1  59  59  59]",19,"(1.0, 5.2, 5.3)",31.0288
4,"[1  61  61  61]",19,"(1.0, 5.3, 5.4)",30.3428
4,"[1  64  64  64]",19,"(1.0, 5.4, 5.5)",30.0421
4,"[1  66  66  66]",20,"(1.0, 5.5, 5.6)",30.3385
4,"[1  69  69  69]",20,"(1.0, 5.6, 5.7)",31.5002
4,"[1  72  72  72]",20,"(1.0, 5.7, 5.7)",33.4381
4,"[1  74  74  74]",20,"(1.0, 5.7, 5.8)",35.0999
4,"[1  77  77  77]",21,"(1.0, 5.8, 5.9)",38.0506
1,"[1  80  80  80]",21,"(1.0, 5.9, 6.0)",30.3104
1,"[1  82  82  82]",21,"(1.0, 6.0, 6.1)",29.4166
1,"[1  85  85  85]",22,"(1.0, 6.1, 6.2)",28.8143
1,"[1  88  88  88]",22,"(1.0, 6.2, 6.2)",29.1408
1,"[1  91  91  91]",22,"(1.0, 6.2, 6.3)",30.3663
1,"[1  93  93  93]",22,"(1.0, 6.3, 6.4)",31.6343
1,"[1  96  96  96]",23,"(1.0, 6.4, 6.5)",34.1124
1,"[1  99  99  99]",23,"(1.0, 6.5, 6.6)",37.1562
2,"[2  2  2  2]",104,"(20.0, 21.0, 29.0)",33.6893
2,"[2  2  2  4]",8,"(2.0, 1.4, 2.4)",32.2592
2,"[2  2  2  6]",195,"(28.0, 45.0, 53.0)",30.8925
2,"[2  2  2  11]",315,"(36.0, 77.0, 85.0)",27.8132
2,"[2  2  2  18]",461,"(44.0, 117.0, 125.0)",24.5864
2,"[2  2  2  25]",635,"(52.0, 165.0, 173.0)",23.0957
2,"[2  2  2  32]",837,"(60.0, 221.0, 229.0)",23.6712
2,"[2  2  9  30]",1066,"(68.0, 285.0, 293.0)",19.1550
2,"[2  3  3  4]",10,"(2.0, 2.0, 2.8)",31.2996
2,"[2  4  4  6]",11,"(2.0, 2.4, 3.2)",28.9200
2,"[2  5  18  18]",1323,"(76.0, 357.0, 365.0)",16.2229
2,"[2  6  6  7]",12,"(2.0, 2.8, 3.5)",26.3483
