N_Max_Element,Total_Unique_Families
1,1
2,2
3,5
4,8
5,11
6,16
7,20
8,28
9,28
10,35
11,41
12,47
13,51
14,59
15,63
16,72
17,80
18,83
19,88
20,100
21,106
22,109
23,116
24,122
25,132
26,138
27,148
28,150
29,156
30,172
31,181
32,188
33,192
34,205
35,212
36,221
37,232
38,242
39,251
40,252
41,269
42,283
43,293
44,301
45,318
46,330
47,335
48,344
49,364
50,379
51,389
52,396
53,408
54,418
55,430
56,441
57,457
58,467
59,478
60,485
61,503
62,520
63,531
64,543
65,558
66,569
67,581
68,590
69,611
70,631
71,646
72,655
73,660
74,679
75,692
76,706
77,720
78,732
79,752
80,767
81,775
82,791
83,811
84,825
85,839
86,849
87,865
88,880
89,891
90,902
91,927
92,955
93,970
94,982
95,987
96,1002
97,1027
98,1048
99,1069
100,1082
101,1095
102,1116
103,1126
104,1137
105,1153
106,1171
107,1201
108,1221
109,1232
110,1245
111,1264
112,1278
113,1293
114,1310
115,1329
116,1352
117,1370
118,1387
119,1401
120,1414
